country,region,continent,tau_ms,phi,reach_km,uncovered_share,uncovered_share_baseline,migrated_share
NO,Europe,EurAfrMENA,50,0.2,0,0.45915644255823174,0.45915644255823174,0.0
NO,Europe,EurAfrMENA,50,0.4,0,0.45915644255823174,0.45915644255823174,0.0
NO,Europe,EurAfrMENA,50,0.6,0,0.45915644255823174,0.45915644255823174,0.0
NO,Europe,EurAfrMENA,50,0.8,0,0.45915644255823174,0.45915644255823174,0.0
NO,Europe,EurAfrMENA,50,1.0,0,0.45915644255823174,0.45915644255823174,0.0
NO,Europe,EurAfrMENA,100,0.0,3143,0.45915644255823174,0.45915644255823174,0.0
NO,Europe,EurAfrMENA,100,0.2,3143,0.41525937307594823,0.45915644255823174,0.11153901274439355
NO,Europe,EurAfrMENA,100,0.4,3143,0.37378754080736565,0.45915644255823174,0.20233123963218616
NO,Europe,EurAfrMENA,100,0.6,3143,0.3360942432287971,0.45915644255823174,0.27507640356308616
NO,Europe,EurAfrMENA,100,0.8,3143,0.3043908741589061,0.45915644255823174,0.3306180600502318
NO,Europe,EurAfrMENA,100,1.0,3143,0.28502306791049564,0.45915644255823174,0.3624949715472416
NO,Europe,EurAfrMENA,150,0.0,6714,0.45915644255823174,0.45915644255823174,0.0
NO,Europe,EurAfrMENA,150,0.2,6714,0.41406471832652114,0.45915644255823174,0.1143452780600108
NO,Europe,EurAfrMENA,150,0.4,6714,0.3697933099228117,0.45915644255823174,0.21041318737007703
NO,Europe,EurAfrMENA,150,0.6,6714,0.3283159794440982,0.45915644255823174,0.2891140286258674
NO,Europe,EurAfrMENA,150,0.8,6714,0.29299294153010935,0.45915644255823174,0.34951281032492515
NO,Europe,EurAfrMENA,150,1.0,6714,0.2714189709585531,0.45915644255823174,0.38425445858331564
NO,Europe,EurAfrMENA,200,0.0,10286,0.45915644255823174,0.45915644255823174,0.0
NO,Europe,EurAfrMENA,200,0.2,10286,0.4107982901345956,0.45915644255823174,0.1219659520579475
NO,Europe,EurAfrMENA,200,0.4,10286,0.3586977038152719,0.45915644255823174,0.23238830121750995
NO,Europe,EurAfrMENA,200,0.6,10286,0.30547753381372544,0.45915644255823174,0.32878988923471203
NO,Europe,EurAfrMENA,200,0.8,10286,0.25822219753186126,0.45915644255823174,0.4050634428164699
NO,Europe,EurAfrMENA,200,1.0,10286,0.23089991702204216,0.45915644255823174,0.44804763716533974
